Latitude: 28.64278  Longitude: -82.26415
X & Y on Lambert Conformal Conic: 1692532.5 -1301758.28
Tile: 10669
Elevation: 25 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
1990,41,39193.46,0.00,265.00,0.00,26.74,16.61,1541.97
1990,42,39282.27,24.19,107.46,0.00,22.40,17.25,1967.08
1990,43,39372.00,0.00,402.78,0.00,23.48,6.54,783.17
1990,44,39462.62,0.00,423.17,0.00,26.04,7.22,781.11
1990,45,39554.10,0.00,414.82,0.00,26.92,8.95,879.86
1990,46,39646.42,0.00,374.62,0.00,28.74,13.45,1233.26
1990,47,39739.54,0.00,319.80,0.00,29.28,16.88,1651.77
1990,48,39833.43,0.00,277.56,0.00,28.40,18.07,1895.27
1990,49,39928.07,0.00,305.12,0.00,28.96,17.59,1763.18
1990,50,40023.42,0.00,334.76,0.00,29.41,16.83,1604.61
1990,51,40119.47,0.00,172.54,0.00,22.73,17.00,1936.82
1990,52,40216.18,0.00,318.22,0.00,27.22,15.91,1565.68
1990,53,40313.52,15.74,219.99,0.00,28.91,18.41,2090.39
1990,54,40411.47,52.90,199.19,0.00,23.91,15.31,1738.37
1990,55,40510.01,0.00,388.61,0.00,19.06,6.01,935.09
1990,56,40609.10,0.00,363.08,0.00,19.14,7.49,1035.48
1990,57,40708.72,0.00,447.71,0.00,21.88,5.47,863.06
1990,58,40808.85,0.00,417.56,0.00,23.13,8.77,1095.75
1990,59,40909.46,0.00,423.52,0.00,24.77,10.11,1179.97
1990,60,41010.54,0.00,428.97,0.00,25.71,10.62,1207.79
1990,61,41112.04,0.00,411.02,0.00,25.62,11.50,1298.81
1990,62,41213.96,0.00,284.20,0.00,22.23,13.83,1579.82
1990,63,41316.27,0.00,434.93,0.00,23.42,8.66,1065.45
1990,64,41418.94,0.00,467.30,0.00,25.63,8.37,1003.88
1990,65,41521.96,0.00,426.26,0.00,26.45,11.74,1291.66
1990,66,41625.30,0.00,399.36,0.00,27.35,14.03,1525.44
1990,67,41728.94,0.00,291.68,0.00,24.86,16.24,1845.01
1990,68,41832.86,0.00,459.35,0.00,26.94,11.03,1149.73
1990,69,41937.03,0.00,458.90,0.00,27.89,11.96,1214.29
1990,70,42041.45,0.00,476.38,0.00,29.18,11.83,1173.61
1990,71,42146.08,0.00,471.11,0.00,28.89,11.93,1188.33
1990,72,42250.90,0.00,461.62,0.00,29.24,12.64,1252.29
1990,73,42355.91,0.00,436.30,0.00,29.49,14.47,1441.50
1990,74,42461.06,0.00,417.70,0.00,30.26,16.25,1636.37
1990,75,42566.36,0.00,395.73,0.00,31.21,18.22,1883.38
1990,76,42671.77,5.83,251.91,0.00,30.21,19.67,2290.43
1990,77,42777.28,0.00,461.94,0.00,25.36,10.41,1121.82
1990,78,42882.86,0.00,483.11,0.00,26.72,10.25,1078.77
1990,79,42988.50,0.00,387.75,0.00,22.92,11.51,1304.34
1990,80,43094.18,0.00,515.16,0.00,23.35,5.34,768.35
1990,81,43199.88,0.00,502.74,0.00,25.36,7.70,898.28
1990,82,43305.58,0.00,489.05,0.00,26.31,9.35,1008.82
1990,83,43411.27,0.00,493.48,0.00,27.55,10.01,1039.95
1990,84,43516.91,0.00,486.80,0.00,28.55,11.14,1108.93
1990,85,43622.49,0.00,445.33,0.00,28.50,13.40,1337.59
1990,86,43728.00,0.00,421.87,0.00,27.71,13.82,1410.76
1990,87,43833.41,0.00,432.95,0.00,29.43,14.90,1480.96
1990,88,43938.71,5.47,311.93,0.00,29.99,15.91,1782.96
1990,89,44043.86,22.75,274.53,0.00,29.34,17.51,1999.82
1990,90,44148.87,18.06,201.42,0.00,26.71,18.65,2149.38
1990,91,44253.69,0.00,374.65,0.00,28.94,17.13,1952.60
1990,92,44358.32,0.00,392.50,0.00,28.83,16.30,1852.77
1990,93,44462.74,3.13,236.62,0.00,26.26,16.93,1928.73
1990,94,44566.92,0.00,442.32,0.00,21.36,8.15,1083.33
1990,95,44670.83,0.00,516.36,0.00,25.26,7.76,993.52
1990,96,44774.47,0.00,510.76,0.00,26.81,9.49,1057.05
1990,97,44877.81,0.00,367.57,0.00,25.50,14.56,1657.22
1990,98,44980.83,0.00,447.33,0.00,26.05,12.16,1330.28
1990,99,45083.51,0.00,453.80,0.00,26.74,12.64,1322.11
1990,100,45185.81,0.00,474.12,0.00,29.37,14.05,1400.81
1990,101,45287.73,7.54,230.80,0.00,27.52,18.65,2148.92
1990,102,45389.24,0.00,458.65,0.00,24.23,10.68,1194.73
1990,103,45490.31,0.00,504.31,0.00,25.62,9.80,1075.60
1990,104,45590.93,0.00,515.87,0.00,28.15,11.25,1153.70
1990,105,45691.06,0.00,490.94,0.00,27.15,11.73,1221.79
1990,106,45790.68,0.00,516.94,0.00,30.07,12.59,1242.20
1990,107,45889.78,0.00,493.76,0.00,31.28,14.85,1456.71
1990,108,45988.31,0.00,492.09,0.00,32.20,15.71,1532.97
1990,109,46086.27,4.92,315.82,0.00,29.66,16.51,1877.81
1990,110,46183.61,0.00,384.47,0.00,27.44,16.22,1797.98
1990,111,46280.32,0.00,477.15,0.00,27.96,13.26,1370.98
1990,112,46376.37,0.00,521.31,0.00,30.16,12.87,1270.11
1990,113,46471.72,0.00,463.31,0.00,28.77,14.70,1512.75
1990,114,46566.36,0.00,454.00,0.00,28.76,15.19,1572.11
1990,115,46660.26,0.00,499.48,0.00,29.86,14.11,1400.60
1990,116,46753.38,0.00,499.42,0.00,30.11,14.30,1414.99
1990,117,46845.70,0.00,495.72,0.00,30.82,15.05,1482.91
1990,118,46937.18,9.69,291.68,0.00,29.32,17.95,2056.38
1990,119,47027.81,0.00,482.21,0.00,32.51,16.99,1724.87
1990,120,47117.54,0.00,477.28,0.00,32.96,17.40,1772.82
1990,121,47206.34,0.00,460.23,0.00,33.15,18.24,1894.30
1990,122,47294.20,0.00,511.50,0.00,36.06,17.78,1737.10
1990,123,47381.07,0.00,445.93,0.00,34.33,19.56,2068.27
1990,124,47466.92,0.00,395.81,0.00,32.73,20.20,2259.86
1990,125,47551.72,0.00,364.02,0.00,30.99,19.94,2298.01
1990,126,47635.44,0.00,396.40,0.00,29.80,18.00,1990.02
1990,127,47718.05,0.00,439.33,0.00,29.26,15.97,1692.20
1990,128,47799.51,0.00,489.72,0.00,28.88,13.54,1389.74
1990,129,47879.80,0.00,377.99,0.00,29.02,17.94,2015.28
1990,130,47958.87,16.79,239.56,0.00,29.95,20.69,2438.27
1990,131,48036.69,0.00,466.66,0.00,30.22,15.68,1672.51
1990,132,48113.23,0.00,501.83,0.00,31.89,15.33,1578.68
1990,133,48188.46,0.00,415.18,0.00,32.24,19.50,2084.27
1990,134,48262.35,0.00,463.18,0.00,34.10,19.21,1941.31
1990,135,48334.85,0.00,409.13,0.00,33.27,20.68,2242.00
1990,136,48405.94,0.00,417.53,0.00,33.80,20.92,2251.08
1990,137,48475.58,0.00,433.18,0.00,34.06,20.63,2176.42
1990,138,48543.74,0.00,435.97,0.00,33.73,20.34,2133.56
1990,139,48610.38,0.00,441.24,0.00,33.71,20.12,2093.59
1990,140,48675.48,0.00,423.98,0.00,33.86,20.84,2222.05
1990,141,48738.99,0.00,381.79,0.00,32.25,21.02,2349.80
1990,142,48800.89,0.00,294.66,0.00,29.35,21.26,2525.70
1990,143,48861.14,0.00,423.32,0.00,31.54,19.31,2038.78
1990,144,48919.72,0.00,421.31,0.00,31.61,19.58,1988.01
1990,145,48976.59,0.00,453.21,0.00,32.35,19.79,1469.45
1990,146,49031.71,0.00,461.69,0.00,33.19,20.28,1482.86
1990,147,49085.06,17.88,319.99,0.00,33.21,21.17,1995.95
1990,148,49136.61,0.00,419.87,0.00,32.36,20.82,1854.17
1990,149,49186.33,0.00,386.53,0.00,31.74,21.41,2020.48
1990,150,49234.19,0.00,514.42,0.00,33.26,18.14,1362.21
1990,151,49280.16,0.00,503.24,0.00,33.77,19.07,1461.18
1990,152,49324.22,10.14,330.91,0.00,34.13,21.46,2167.81
1990,153,49366.34,24.23,320.92,0.00,34.24,21.96,2351.87
1990,154,49406.48,34.73,324.41,0.00,33.82,21.23,2405.41
1990,155,49444.64,0.00,440.54,0.00,33.09,20.42,2217.42
1990,156,49480.78,0.00,402.51,0.00,33.07,21.71,2477.64
1990,157,49514.89,0.00,421.49,0.00,33.89,21.78,2440.39
1990,158,49546.93,43.24,336.91,0.00,33.91,20.52,2413.68
1990,159,49576.90,28.60,317.95,0.00,32.94,20.74,2446.70
1990,160,49604.77,0.00,409.65,0.00,32.69,21.00,2486.36
1990,161,49630.52,13.54,290.12,0.00,32.93,22.05,2651.23
1990,162,49654.14,0.00,388.11,0.00,32.83,22.06,2652.62
1990,163,49675.61,0.00,407.10,0.00,33.31,21.82,2614.55
1990,164,49694.92,0.00,461.86,0.00,32.29,18.97,2192.57
1990,165,49712.05,0.00,502.86,0.00,31.91,16.72,1902.72
1990,166,49727.00,0.00,483.80,0.00,33.32,18.64,2146.96
1990,167,49739.75,0.00,470.01,0.00,34.32,19.98,2334.41
1990,168,49750.30,0.00,412.67,0.00,33.73,21.90,2626.03
1990,169,49758.64,0.00,396.35,0.00,33.78,22.56,2734.14
1990,170,49764.76,7.48,294.80,0.00,34.04,22.92,2795.13
1990,171,49768.65,0.00,372.89,0.00,34.33,23.84,2953.79
1990,172,49770.33,0.00,392.60,0.00,34.77,23.45,2885.06
1990,173,49769.78,18.43,265.89,0.00,33.50,23.73,2934.10
1990,174,49767.00,25.93,217.76,0.00,30.24,22.85,2783.03
1990,175,49762.00,5.67,283.25,0.00,31.11,21.19,2515.26
1990,176,49754.78,0.00,443.26,0.00,33.48,20.83,2459.61
1990,177,49745.35,0.00,416.93,0.00,32.71,21.23,2520.63
1990,178,49733.71,0.00,428.10,0.00,30.87,19.36,2245.60
1990,179,49719.87,0.00,461.67,0.00,33.59,20.09,2349.64
1990,180,49703.83,0.00,435.15,0.00,34.31,21.77,2605.66
1990,181,49685.62,0.00,405.93,0.00,33.50,22.30,2691.62
1990,182,49665.24,17.90,319.35,0.00,34.33,22.23,2680.37
1990,183,49642.70,0.00,344.60,0.00,31.94,23.02,2812.51
1990,184,49618.02,0.00,290.36,0.00,28.45,21.53,2568.24
1990,185,49591.22,10.16,319.08,0.00,33.09,21.54,2569.77
1990,186,49562.31,0.00,434.03,0.00,33.20,21.30,2532.66
1990,187,49531.31,0.00,392.24,0.00,33.44,22.98,2804.73
1990,188,49498.24,0.00,432.31,0.00,36.38,23.78,2943.72
1990,189,49463.12,0.00,454.11,0.00,35.22,22.03,2647.30
1990,190,49425.98,0.00,453.40,0.00,35.63,22.31,2692.99
1990,191,49386.83,0.00,423.58,0.00,34.53,22.67,2752.34
1990,192,49345.71,12.77,350.87,0.00,34.93,21.08,2497.42
1990,193,49302.63,0.00,463.50,0.00,34.83,21.15,2508.27
1990,194,49257.62,30.95,283.16,0.00,31.39,21.67,2590.24
1990,195,49210.71,36.56,143.74,0.00,26.24,21.95,2634.70
1990,196,49161.92,11.99,304.12,0.00,31.09,20.90,2470.01
1990,197,49111.29,1.92,444.32,0.00,32.03,20.38,2392.54
1990,198,49058.84,0.00,422.80,0.00,32.72,21.71,2595.99
1990,199,49004.61,12.29,284.86,0.00,31.96,22.50,2724.88
1990,200,48948.62,0.00,409.55,0.00,33.01,22.43,2713.55
1990,201,48890.90,0.00,399.72,0.00,33.41,23.08,2822.30
1990,202,48831.49,0.00,423.17,0.00,33.51,22.37,2702.53
1990,203,48770.42,0.00,424.47,0.00,33.24,22.07,2654.42
1990,204,48707.71,0.00,426.06,0.00,33.60,22.19,2674.05
1990,205,48643.41,0.00,414.06,0.00,34.69,23.41,2879.34
1990,206,48577.54,0.00,430.50,0.00,35.19,23.20,2842.25
1990,207,48510.14,0.00,441.12,0.00,34.24,22.07,2653.76
1990,208,48441.25,5.43,323.12,0.00,33.70,22.04,2649.23
1990,209,48370.88,8.61,298.51,0.00,32.93,22.64,2748.06
1990,210,48299.09,0.00,419.75,0.00,33.76,22.59,2738.97
1990,211,48225.90,0.00,442.01,0.00,34.38,22.20,2674.60
1990,212,48151.34,0.00,446.53,0.00,34.57,22.14,2665.95
1990,213,48075.46,8.57,303.21,0.00,33.66,22.95,2800.20
1990,214,47998.28,3.62,292.90,0.00,33.94,23.54,2901.76
1990,215,47919.83,11.22,289.29,0.00,33.99,23.76,2939.99
1990,216,47840.16,0.00,435.50,0.00,34.26,22.21,2677.13
1990,217,47759.28,0.00,459.49,0.00,34.94,21.64,2584.89
1990,218,47677.25,0.00,450.16,0.00,35.37,22.32,2694.72
1990,219,47594.09,0.00,430.65,0.00,35.06,22.90,2791.98
1990,220,47509.83,8.97,311.98,0.00,33.78,22.52,2727.46
1990,221,47424.50,6.07,300.38,0.00,32.79,22.30,2690.76
1990,222,47338.14,4.54,314.93,0.00,32.02,21.09,2499.51
1990,223,47250.78,5.82,326.32,0.00,32.51,20.96,2479.68
1990,224,47162.45,0.00,463.94,0.00,34.01,20.81,2457.01
1990,225,47073.18,0.00,440.32,0.00,34.36,21.84,2617.66
1990,226,46983.00,23.74,262.09,0.00,30.88,22.11,2660.78
1990,227,46891.95,9.65,256.74,0.00,30.35,21.91,2628.20
1990,228,46800.04,0.00,444.43,0.00,34.52,21.80,2610.53
1990,229,46707.32,0.00,422.56,0.00,34.18,22.33,2697.17
1990,230,46613.82,0.00,424.10,0.00,34.17,22.22,2677.74
1990,231,46519.55,0.00,419.49,0.00,33.97,22.18,2671.94
1990,232,46424.55,0.00,441.61,0.00,34.30,21.49,2561.02
1990,233,46328.85,10.22,299.81,0.00,33.59,22.53,2728.67
1990,234,46232.47,4.39,276.56,0.00,32.64,22.81,2775.47
1990,235,46135.44,36.81,184.62,0.00,27.47,21.69,2592.71
1990,236,46037.79,2.61,236.03,0.00,29.53,21.88,2623.44
1990,237,45939.55,0.00,393.79,0.00,32.81,22.32,2695.16
1990,238,45840.73,4.79,311.72,0.00,33.47,22.04,2649.34
1990,239,45741.37,0.00,416.24,0.00,33.77,22.19,2673.12
1990,240,45641.49,0.00,400.42,0.00,33.27,22.36,2701.47
1990,241,45541.12,0.00,423.24,0.00,34.45,22.37,2703.36
1990,242,45440.28,5.29,263.46,0.00,32.96,23.73,2935.10
1990,243,45338.99,13.75,315.29,0.00,33.02,21.39,2545.72
1990,244,45237.27,0.00,438.13,0.00,34.29,21.51,2564.15
1990,245,45135.16,3.07,317.16,0.00,34.12,21.93,2631.13
1990,246,45032.66,0.00,427.30,0.00,33.38,21.15,2509.33
1990,247,44929.82,0.00,444.06,0.00,33.35,20.38,2392.62
1990,248,44826.64,0.00,427.85,0.00,33.77,21.36,2540.74
1990,249,44723.14,0.00,421.69,0.00,33.51,21.37,2542.46
1990,250,44619.36,0.00,432.09,0.00,33.66,20.96,2479.34
1990,251,44515.31,0.00,446.61,0.00,34.72,20.88,2467.92
1990,252,44411.02,0.00,430.48,0.00,34.98,21.72,2598.41
1990,253,44306.49,0.00,412.34,0.00,33.63,21.46,2557.45
1990,254,44201.76,0.00,413.43,0.00,33.87,21.56,2572.19
1990,255,44096.85,0.00,393.52,0.00,33.68,22.18,2672.15
1990,256,43991.76,0.00,385.10,0.00,34.40,22.94,2798.53
1990,257,43886.54,0.00,400.21,0.00,34.12,21.99,2641.56
1990,258,43781.18,0.00,403.49,0.00,33.73,21.52,2566.59
1990,259,43675.72,4.49,275.91,0.00,32.77,22.13,2663.61
1990,260,43570.17,0.00,369.49,0.00,33.84,22.88,2787.51
1990,261,43464.56,0.00,391.42,0.00,34.16,22.21,2676.21
1990,262,43358.89,0.00,391.94,0.00,33.03,21.29,2531.00
1990,263,43253.20,0.00,425.29,0.00,33.53,20.06,2346.02
1990,264,43147.50,0.00,422.57,0.00,34.94,21.00,2486.06
1990,265,43041.80,0.00,385.42,0.00,34.83,22.41,2710.06
1990,266,42936.14,0.00,357.51,0.00,33.80,22.61,2742.82
1990,267,42830.52,0.00,445.92,0.00,30.47,15.89,1804.33
1990,268,42724.97,0.00,470.43,0.00,31.75,15.01,1705.07
1990,269,42619.51,0.00,426.90,0.00,33.11,18.42,2118.37
1990,270,42514.16,0.00,428.45,0.00,33.91,18.68,2153.02
1990,271,42408.93,0.00,326.60,0.00,30.81,20.74,2446.88
1990,272,42303.84,20.28,234.86,0.00,29.74,20.25,2373.32
1990,273,42198.93,0.00,257.27,0.00,27.01,19.67,2289.17
1990,274,42094.19,0.00,383.06,0.00,31.79,19.19,2222.46
1990,275,41989.67,0.00,378.08,0.00,32.66,19.99,2335.51
1990,276,41885.37,0.00,385.83,0.00,33.73,20.30,2381.23
1990,277,41781.32,0.00,361.04,0.00,33.79,21.43,2552.69
1990,278,41677.54,0.00,336.14,0.00,32.80,21.66,2589.02
1990,279,41574.04,0.00,327.89,0.00,32.96,22.08,2655.04
1990,280,41470.86,0.00,378.25,0.00,33.26,20.00,2337.69
1990,281,41368.01,0.00,356.60,0.00,32.66,20.51,2412.53
1990,282,41265.52,23.02,245.09,0.00,30.55,20.04,2343.14
1990,283,41163.40,27.11,222.33,0.00,31.70,22.12,2662.26
1990,284,41061.68,26.69,153.58,0.00,29.39,23.19,2840.53
1990,285,40960.39,2.31,191.74,0.00,30.74,22.79,2773.18
1990,286,40859.54,0.00,289.33,0.00,29.61,20.69,2438.65
1990,287,40759.16,0.00,349.94,0.00,30.78,19.24,2229.20
1990,288,40659.28,0.00,359.38,0.00,31.37,19.18,2220.60
1990,289,40559.92,0.00,340.85,0.00,31.45,19.98,2333.82
1990,290,40461.10,0.00,333.68,0.00,31.55,20.28,2378.18
1990,291,40362.85,0.00,338.04,0.00,31.39,19.89,2320.74
1990,292,40265.20,0.00,312.05,0.00,28.92,18.91,2183.65
1990,293,40168.17,0.00,324.47,0.00,29.26,18.69,2154.43
1990,294,40071.78,0.00,350.34,0.00,32.04,19.67,2289.44
1990,295,39976.08,4.11,251.28,0.00,31.65,20.01,2338.75
1990,296,39881.07,14.15,198.56,0.00,29.90,21.42,2550.46
1990,297,39786.80,0.00,367.48,0.00,28.63,15.95,1811.13
1990,298,39693.29,0.00,337.27,0.00,25.54,14.91,1694.46
1990,299,39600.56,0.00,413.94,0.00,21.55,7.30,1021.93
1990,300,39508.65,0.00,443.03,0.00,25.56,7.17,1013.38
1990,301,39417.59,0.00,396.43,0.00,25.77,11.32,1339.93
1990,302,39327.41,0.00,430.52,0.00,26.82,8.49,1108.60
1990,303,39238.14,0.00,395.19,0.00,27.13,11.60,1365.43
1990,304,39149.80,0.00,373.17,0.00,27.46,13.20,1516.46
1990,305,39062.43,0.00,343.32,0.00,28.08,15.37,1745.66
1990,306,38976.07,0.00,325.93,0.00,29.27,17.18,1959.24
1990,307,38890.73,0.00,343.40,0.00,29.14,15.96,1813.02
1990,308,38806.46,0.00,307.21,0.00,29.15,17.80,2037.27
1990,309,38723.29,0.00,358.06,0.00,28.92,14.53,1653.39
1990,310,38641.25,0.00,322.93,0.00,28.76,16.40,1864.41
1990,311,38560.37,0.00,349.16,0.00,28.96,14.83,1685.92
1990,312,38480.69,0.00,329.89,0.00,29.11,15.97,1813.89
1990,313,38402.24,9.90,210.85,0.00,28.11,17.57,2007.90
1990,314,38325.05,0.00,168.73,0.00,24.48,18.68,2152.57
1990,315,38249.15,0.00,379.63,0.00,23.03,6.91,995.57
1990,316,38174.59,0.00,385.19,0.00,25.73,7.97,1069.71
1990,317,38101.39,0.00,368.43,0.00,26.01,9.43,1181.21
1990,318,38029.58,0.00,325.06,0.00,26.68,12.99,1495.59
1990,319,37959.21,0.00,305.74,0.00,26.78,14.10,1607.84
1990,320,37890.30,0.00,269.80,0.00,25.75,15.05,1709.95
1990,321,37822.90,0.00,295.06,0.00,25.33,13.30,1526.94
1990,322,37757.02,0.00,344.10,0.00,23.67,8.54,1111.96
1990,323,37692.71,0.00,368.49,0.00,23.48,5.88,926.68
1990,324,37629.99,0.00,362.07,0.00,24.39,6.89,994.14
1990,325,37568.91,0.00,368.44,0.00,26.41,7.31,1022.83
1990,326,37509.48,0.00,316.60,0.00,25.66,10.98,1310.16
1990,327,37451.76,0.00,276.31,0.00,25.36,13.16,1513.10
1990,328,37395.75,11.13,177.23,0.00,24.24,14.21,1619.37
1990,329,37341.51,0.00,246.14,0.00,25.68,15.02,1706.37
1990,330,37289.05,0.00,321.37,0.00,28.59,12.72,1469.56
1990,331,37238.40,3.42,210.78,0.00,28.39,15.32,1739.60
1990,332,37189.61,0.00,208.53,0.00,29.73,20.42,2398.92
1990,333,37142.68,0.00,200.66,0.00,27.88,19.28,2235.37
1990,334,37097.66,0.00,320.11,0.00,22.53,8.02,1074.02
1990,335,37054.57,0.00,321.68,0.00,24.77,9.60,1194.46
1990,336,37013.43,0.00,300.53,0.00,26.61,12.52,1451.07
1990,337,36974.27,0.00,271.29,0.00,26.29,14.10,1607.71
1990,338,36937.11,0.00,214.75,0.00,25.02,15.93,1809.54
1990,339,36901.98,0.00,337.34,0.00,18.47,2.65,738.83
1990,340,36868.90,0.00,317.41,0.00,20.58,5.98,933.23
1990,341,36837.89,6.34,235.65,0.00,24.52,9.42,1180.81
1990,342,36808.96,4.55,159.35,0.00,18.23,9.76,1207.59
1990,343,36782.15,0.00,317.01,0.00,18.01,3.59,790.00
1990,344,36757.45,0.00,330.98,0.00,19.44,3.31,774.33
1990,345,36734.90,0.00,349.62,0.00,22.34,3.53,786.73
1990,346,36714.51,0.00,338.19,0.00,21.74,4.31,830.67
1990,347,36696.28,0.00,327.58,0.00,24.14,7.24,1018.33
1990,348,36680.23,0.00,319.77,0.00,24.39,8.06,1076.91
1990,349,36666.38,0.00,318.09,0.00,26.29,9.56,1191.73
1990,350,36654.72,0.00,308.79,0.00,26.18,10.12,1237.64
1990,351,36645.27,0.00,314.05,0.00,27.14,10.25,1247.95
1990,352,36638.04,0.00,280.60,0.00,27.43,13.17,1513.21
1990,353,36633.03,0.00,251.45,0.00,29.36,16.77,1908.32
1990,354,36630.24,0.00,252.81,0.00,28.60,16.18,1837.81
1990,355,36629.67,0.00,245.08,0.00,28.21,16.47,1872.59
1990,356,36631.33,0.00,238.15,0.00,28.15,16.89,1923.27
1990,357,36635.21,0.00,253.86,0.00,28.15,15.99,1816.71
1990,358,36641.32,2.62,143.82,0.00,24.62,16.21,1842.38
1990,359,36649.64,0.00,351.36,0.00,21.31,2.13,711.90
1990,360,36660.17,0.00,326.31,0.00,24.53,7.50,1036.13
1990,361,36672.91,0.00,274.21,0.00,27.71,14.22,1620.75
1990,362,36687.84,0.00,221.38,0.00,26.04,15.87,1802.45
1990,363,36704.96,0.00,212.78,0.00,27.93,17.93,2053.83
1990,364,36724.26,0.00,211.83,0.00,28.75,18.79,2167.62
1990,365,36745.71,0.00,243.62,0.00,28.55,17.01,1938.40
1991,1,36769.43,0.00,276.71,0.00,28.80,16.93,1909.84
1991,2,36795.17,0.00,243.19,0.00,27.07,17.32,1976.79
1991,3,36823.04,0.00,212.33,0.00,25.44,17.33,1977.93
1991,4,36853.00,0.00,170.38,0.00,22.28,16.14,1833.70
1991,5,36885.04,0.00,267.86,0.00,25.96,16.10,1078.40
1991,6,36919.14,0.00,288.40,0.00,28.11,17.14,1050.83
1991,7,36955.28,0.00,323.26,0.00,28.40,15.50,838.61
1991,8,36993.43,0.00,261.50,0.00,25.84,16.38,1119.10
1991,9,37033.57,0.00,254.73,0.00,22.37,13.46,984.26
1991,10,37075.68,0.00,330.02,0.00,26.83,13.89,751.57
1991,11,37119.74,15.04,188.70,0.00,26.65,17.39,1494.31
1991,12,37165.70,11.40,159.01,0.00,24.03,16.38,1806.76
1991,13,37213.56,0.00,302.91,0.00,15.96,5.13,764.81
1991,14,37263.28,0.00,367.86,0.00,19.93,4.42,633.26
1991,15,37314.82,7.65,245.50,0.00,21.36,8.65,1021.17
1991,16,37368.17,0.00,259.96,0.00,23.03,13.74,1439.89
1991,17,37423.29,0.00,329.31,0.00,19.57,7.25,868.19
1991,18,37480.15,0.00,383.58,0.00,21.50,4.62,659.49
